VideoID,Comments,Labels
Y-ZaFDWyZ38,"Rubbish BS.
If you say Russians carried out forced mobilizations tell us the type of mobilization ukrainians carried out. Ukrainians were forcing people of the street to the war front.
You are talking nonsense.",FoxNews
Y-ZaFDWyZ38,"Ukraine has breached the surovikin line which was Russias strongest defensive fortifications & better troops, they are working on the second line now and have one more after that.  Even when Ukraine reaches the Sea of Astov and they break the Crimea land bridge, and that probably won’t happen before the Rasputitsa mud & winter hit, this war will be far from over, 1-3 years.  If Biden wouldn’t have meekly tiptoed around Putin unnecessarily  delaying the transfer of armor for months Russia would not have been able to build these massive minefields & defensive lines, he has needlessly prolonged this war far longer than needed and it’s just a colossal waste of life on both sides and for nothing.",FoxNews
Y-ZaFDWyZ38,You sir are not on the lines ..,FoxNews
Y-ZaFDWyZ38,Lebron James is the nba goat.,FoxNews
Y-ZaFDWyZ38,Neocon War Pig talk.  Count on Cavuto!,FoxNews
Y-ZaFDWyZ38,Gee a ultra right wing nut job on Fox who would have figured,FoxNews
Y-ZaFDWyZ38,"By Axis of Evil, it means defense of religious, hereditary and economic freedom from western corporations.",FoxNews
Y-ZaFDWyZ38,Jesus Christ conservative have become weak. These comments are sad,FoxNews
Y-ZaFDWyZ38,"Neil , that was a horrible interview and you didn’t push back on anything he said.",FoxNews
Y-ZaFDWyZ38,"Somewhat stalled??? They stated before hand that they were going to drive to the sea and split the Russian forces. They have captured some farmfields and suffered 😮tens of thousands of KIAs, tens of thousands of injured and wasted billions of dollars of our military equipment. Axis of Evil??? How many countries are we currently in that have not invited us? How many countries have we invaded since 1980? This guy is a mouthpiece for stupidity.",FoxNews
Y-ZaFDWyZ38,"Ukraine loosing almost a year ago, day after day. So badly, there is no chance to recover anything. Still, forbidden is talk about it. Somebody try to pack a little bits of truth in regular talk, and this will happening more and more.",FoxNews
Y-ZaFDWyZ38,This dangerous soldier is not telling the truth.,FoxNews
Y-ZaFDWyZ38,"tit for tat hahaha ukraine has lost 400 thousand men is that what you call it tit for tat ,  just stop your propaganda Russia has already won this war it over ukraine is done you can stick a fork in em",FoxNews
Y-ZaFDWyZ38,Keep screwing around and we will all be burnt toast !,FoxNews
Y-ZaFDWyZ38,"No, China more like Trump, because trump will keep destroying US like he did, vote for Trump",FoxNews
Y-ZaFDWyZ38,"What abt the money from china to biden? What part does this play in all these decisions? 
Is Biden compromised or on the take?
More questions to ask and answers to be investigated.",FoxNews
Y-ZaFDWyZ38,"Like a symphony of defiance, Ukraine's courage reverberates across the globe.",FoxNews
Y-ZaFDWyZ38,Book Seller BS,FoxNews
Y-ZaFDWyZ38,FoxNews loves them some Putin.  I still don't understand how Americans listen to Fox (aka Putin's little bitches).,FoxNews
Y-ZaFDWyZ38,They want to keep filling the Biden Cartel's coffers for as long as they can get away with it!,FoxNews
Y-ZaFDWyZ38,lol wasnt russia supposed to be 'demoralized' and run away for this whole offensive already? ukraine was going to roll right over them and be in crimea in no time but its not even clear if robotyne has really been taken yet even. ukraine is paying for every inch of ground it takes in lives.  meanwhile russia is playing the attrition game and doesnt mind giving up territory as it can just take it back later (like its doing in the north).,FoxNews
Y-ZaFDWyZ38,Us has turned to 💩 👿. Like demons,FoxNews
Y-ZaFDWyZ38,"I don't like Cavuto  and this guest is  echoing his politics. Biden  has sold us out  to make money for him and his family in China, Ukraine and anywhere else he can make a buck. I'd rather vote for  anybody  that will stop illegal migration and stop spending money on Ukraine",FoxNews
Y-ZaFDWyZ38,"What do these totalitarians hope to achieve with all of this madness ? Does Putin care about anything beyond his own personal satisfaction, or his own lifetime ?",FoxNews
Y-ZaFDWyZ38,"(Daniel 9:27 was fulfilled in August 13 2023 also when the woman began travailing in birth in order to fulfill the time of the gentiles, three riders were released within 2020 and 2023. These words are true and worthy, he who has ears to hear let him hear.)

*""And they asked him, saying, Master, but when shall these things be? and what sign will there be when these things shall come to pass? And he said, Take heed that ye be not deceived: for many shall come in my name, saying, I am Christ; and the time draweth near: go ye not therefore after them. But when ye shall hear of wars and commotions, be not terrified: for these things must first come to pass; but the end is not by and by. Then said he unto them, Nation shall rise against nation, and kingdom against kingdom: and great earthquakes shall be in divers places, and famines, and pestilences; and fearful sights and great signs shall there be from heaven.""*
*""And there shall be signs in the sun, and in the moon, and in the stars; and upon the earth distress of nations, with perplexity; the sea and the waves roaring; men's hearts failing them for fear, and for looking after those things which are coming on the earth: for the powers of heaven shall be shaken. And then shall they see the Son of man coming in a cloud with power and great glory. And when these things begin to come to pass, then look up, and lift up your heads; for your redemption draweth nigh.""*
Bible, Gospel of Luke, chapter 21.

*""For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life. For God sent not his Son into the world to condemn the world; but that the world through him might be saved. He that believeth on him is not condemned: but he that believeth not is condemned already, because he hath not believed in the name of the only begotten Son of God.""*
Gospel of John, chapter 3, verse 16 to 18.

*""For I delivered unto you first of all that which I also received, how that Christ died for our sins according to the scriptures; And that he was buried, and that he rose again the third day according to the scriptures: And that he was seen of Cephas, then of the twelve: After that, he was seen of above five hundred brethren at once; of whom the greater part remain unto this present, but some are fallen asleep.""*
First Corinthians, chapter 15, verse 3 to 6.

*""Repent therefore of this thy wickedness, and pray God, if perhaps the thought of thine heart may be forgiven thee.""*
Acts, chapter 8, verse 22.

*""Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born again, he cannot see the kingdom of God.""*
Gospel of John, chapter 3, verse 3.

*""From that time Jesus began to preach, and to say, Repent: for the kingdom of heaven is at hand.""*
Gospel of Matthew, chapter 4, verse 17.

*""After two days will he revive us: in the third day he will raise us up, and we shall live in his sight.""*
Hosea, chapter 6, verse 2.

*""But, beloved, be not ignorant of this one thing, that one day is with the Lord as a thousand years, and a thousand years as one day.""*
Peter, chapter 3, verse 8.

*""knowing this first, that there shall come in the last days scoffers, walking after their own lusts, and saying, Where is the promise of his coming? for since the fathers fell asleep, all things continue as they were from the beginning of the creation.""*
Peter, chapter 3, verse 3 to 4.

*""For when they shall say, Peace and safety; then sudden destruction cometh upon them, as travail upon a woman with child; and they shall not escape.""*
First Thessalonians chapter 5, verse 3.

*""For the Lord himself shall descend from heaven with a shout, with the voice of the archangel, and with the trump of God: and the dead in Christ shall rise first: then we which are alive and remain shall be caught up together with them in the clouds, to meet the Lord in the air: and so shall we ever be with the Lord.""*
First Thessalonians, chapter 4, verse 16 to 17.

*""in a moment, in the twinkling of an eye, at the last trump: for the trumpet shall sound, and the dead shall be raised incorruptible, and we shall be changed.""*
First Corinthians, chapter 15, verse 52.

*""I tell you, in that night there shall be two men in one bed; the one shall be taken, and the other shall be left. Two women shall be grinding together; the one shall be taken, and the other left. Two men shall be in the field; the one shall be taken, and the other left.""*
Gospel of Luke, chapter 17, verse 34 to 36.
..............................................................................................................",FoxNews
Y-ZaFDWyZ38,"Yeah, there is!   It's like they're just waiting until it get closer to election time!   After all, biden isn't just handing all that money over for nothing!!",FoxNews
Y-ZaFDWyZ38,"My goodness, Fox News could only get an LTC. All the other networks get Generals....",FoxNews
Y-ZaFDWyZ38,Arrest cavuto!,FoxNews
Y-ZaFDWyZ38,smh,FoxNews
Y-ZaFDWyZ38,Fox News is the most sophisticated propaganda outlet in the hands of globalist while democrats are in  power,FoxNews
Y-ZaFDWyZ38,"We need Trump back to put all these clowns in check....biden has literally ruined everything. We better stand up on the streets if bidens corrupt administration gets in again. Enough is enough, our country is loosing its spot and most importantly, RESPECT",FoxNews
Y-ZaFDWyZ38,"If China is our country biggest threat, Democrats are the biggest threat to Trump, so Trump would look the other way whenever something domestic happened here that would affect him so that he can get his revenge on Democrats. At the same time, Putin would have an extremely close friend at the White House.",FoxNews
Y-ZaFDWyZ38,Of course China wouldn't want Trump in office again. He's a man of action and he knows how to lead the country. He puts America first. Why do you think Biden and his administration is trying so hard to keep him out of office by all these indictments? Don't forget Biden said he and the Chinese leader are best of friends.,FoxNews
Y-ZaFDWyZ38,"Ukraine was a nuclear power, but decided to trust the fickle Americans to guarantee their security. The American Right is showing that the US will turn tail and run at the first hint of risk.",FoxNews
Y-ZaFDWyZ38,Zoolimpski war pug comedy coercion tour developed gypsie guided long range jokes ? zoolimpski rancid sweaty gypsie green  sweaters are not intimidating his Russian audience and are completely inaffective.,FoxNews
Y-ZaFDWyZ38,"🗣️His response was Biden not Trump, surprise! I thought FOX would change, l see not! Why not just report the news as it's supposed to be? Correct not about incorrect or is it a FOX mission to just make $💵 and create the drama and destruction to our country?
    Because your doing a great job at that !!
    FOX has no ethics, humanity, dignity nor class when it comes to reporting facts. You have to manipulate a fact so it will say what you want it too🤥🤔",FoxNews
Y-ZaFDWyZ38,"They need to stop or else this will get to world war 3, so that chaos needs to stopped immediately.",FoxNews
Y-ZaFDWyZ38,This guy is another lying phony.  Americans see what Biden is doing to the country,FoxNews
Y-ZaFDWyZ38,"Ukraine doing everything well, Russia doing everything badly, this is just pushing the ""company line"". Though I did like him calling BRIC's the new axis of evil, which from an US prospective it probably is.",FoxNews
Y-ZaFDWyZ38,It's America money 💲 playing games in Ukraine.. simple ehh.😎🇺🇸,FoxNews
Y-ZaFDWyZ38,"The way the arms are being metered out is just ensuring the complete destruction. Little by little. Inch by inch. Nothing is being rebuilt, just destroyed",FoxNews
Y-ZaFDWyZ38,So what..we got a Boob in the white house,FoxNews
Y-ZaFDWyZ38,Europeons and americants forced Russia into Chinas embrace,FoxNews
Y-ZaFDWyZ38,America 🇺🇸 want the real estate of the former soviet union and its technological asset to be NATO by using gun barrel diplomacy. Is it true that the white house have coke in it,FoxNews
Y-ZaFDWyZ38,"As Fox News inqure:""are Fox News traitors?""

""Why are Donald Trump the better president, when Joe Biden, takes away production from China, and Donald Trump wants to give away Ukraine to Russia?""
And, why aren't Fox News bankrupt yet, when they lied about the election machines, and attacked voting workers?",FoxNews
Y-ZaFDWyZ38,"Cipher case to embarress USA :
Arresting Imran Khan in the Cipher case will bring global bad publicity, humiliation and embarressment to Biden USA for regime change",FoxNews
Y-ZaFDWyZ38,"Propaganda, Ukrainian army is being massacred.  Peace talks are being refused by NATO & the USA.",FoxNews
Y-ZaFDWyZ38,Where do they find these guys?,FoxNews
Y-ZaFDWyZ38,ukraine little drones vs russian missiles  i see just one winer and its not ukraine,FoxNews
Y-ZaFDWyZ38,I’m a retired US Army lieutenant colonel. How come nobody is interested in my opinion?,FoxNews
Y-ZaFDWyZ38,Пропаганда на фантазиях ),FoxNews
Y-ZaFDWyZ38,"F UKRAINE
F RUSSIA
TRUMP 2024",FoxNews
Y-ZaFDWyZ38,"i like the picture of the Eagle behind the Gen. it is so full of symbolism, that american eagle on the dead tree.",FoxNews
Y-ZaFDWyZ38,Wow! How can we sleep at night without thinking about THE FATE OF BAKHMUT 😂,FoxNews
Y-ZaFDWyZ38,"What at Munich conference he said , West cannot continue breaking the law constantly and  not according the rules they set",FoxNews
Y-ZaFDWyZ38,Military badges should reveal how much tax money each officer has absorbed.,FoxNews
Y-ZaFDWyZ38,"From all the interviews I've watched, it's the military hierarchy that are the most full of it.",FoxNews
Y-ZaFDWyZ38,"What a brain dead take , brought to you by Rayethon",FoxNews
Y-ZaFDWyZ38,"Vivek 0% experience in foreign relations and a total Quack ! Putin and China's already in, been in a alliance ! United States needs to keep it's existing alliance with NATO, Japan, South Korea, Australia, Taiwan and etc other Pacific Allies.",FoxNews
Y-ZaFDWyZ38,"LOL  ""Not looking good:""  for who?",FoxNews
Y-ZaFDWyZ38,Russian drones and missiles are being shot down in Ukraine.  But the Ukrainian drones from Ukraine are hitting Russia and hurting them.  The Ukrainians invented several great drones that can go a long distance.  The Ukrainians continue to develop these drones.,FoxNews
Y-ZaFDWyZ38,"He made a comment that he prefers Biden to be president, which made me laugh. He justified it by saying Trump would put more strain on US relations with Russia and China. In my thinking the US needs to be a lot stronger dealing with China and Russia.",FoxNews
Y-ZaFDWyZ38,Putin looks like he don't feel good health wise. But hes not in as bad shape as Biden Is. Who ever is running our Country i hope they don't let him get us into a nuclear war,FoxNews
Y-ZaFDWyZ38,How many of these corrupted retired officers can we stand?,FoxNews
Y-ZaFDWyZ38,We patriots need to support putin.  He did help our president trump get elected.  And putin can help trump win again.  God bless the communist and trump.,FoxNews
Y-ZaFDWyZ38,"Retired general's work for defense contractors, keep that in mind.",FoxNews
Y-ZaFDWyZ38,"Axis of evil...
Translation...
""If you participate in BRICS you are evil"".
That's not how you convince countries that the West has been pillaging, overthrowing and controlling for centuries. It seems, objectively, that it's only the collective west that thinks Russia is evil. 
So many countries are de-dollarising and breaking away from their neocolonial western masters.... That's why they label this alternative set of systems and structures as 'evil'. The US Empire is in decline and they don't like it despite bringing it upon themselves.",FoxNews
Y-ZaFDWyZ38,"I think it's best of both parties interests to reach an immediate CEASEFIRE. Ukraine didn't start this war. Nor they were well prepared. Russia drove them to do desperate measures. Now the fire of war reached to Russia. Tit for tat!

The loss on both side is enormous. And just because Russia is more powerful or bigger, doesn't mean it has to flex its muscle.

Lets have an immediate Ceasefire and withdrawal of troops from Ukraine. And if Ukraine doesn't listen then Russia can continue. 

It's never about who has more power. But it's about humanity and the right cause. And true democracy and power to the people !!",FoxNews
Y-ZaFDWyZ38,"China’s top defense official visited Belarus last month and praised the countries’ “truly fraternal relations” as the Ukraine War continues to set the stage for WWIII becoming official. 

The matchup would be the U.S. and NATO against Russia, Iran, China, and Belarus. And the result will be nuclear annihilation.",FoxNews
Y-ZaFDWyZ38,Contradicting statement!s,FoxNews
Y-ZaFDWyZ38,"In Russia, a lot of people read the Western press. 
1. Haber7: The EU imports a record amount of LNG from Russia. 
2. Ex-Pentagon Adviser McGregor: The United States is close to a repeat of the Great Depression. 
3. NYT: the expansion of the BRICS has become a signal of the fading power of the United States. 
4. Recently, the head of the office of the NATO Secretary General, Stian Jenssen, received a scolding after he commented on possible options for ending the conflict in Ukraine that did not provide for the complete defeat of Russia. 
5. Biden will not send the victims of the fire from the island of Maui and one thousandth of what he wants to send to Ukraine. 
Are there many problems in the USA???
There are many problems in Russia. A lot of work, everything has to be restored... a lot from scratch.",FoxNews
Y-ZaFDWyZ38,Axis of Evil ‘ ……again!,FoxNews
Y-ZaFDWyZ38,This guy is so full of b/s,FoxNews
Y-ZaFDWyZ38,THESE BUMB SHITS ARE GOING TO GET EVERY ONE OF US KILLED..,FoxNews
Y-ZaFDWyZ38,Well he just said a whole bunch of nothing.,FoxNews
Y-ZaFDWyZ38,SOME HOW IM NOR REALLY BUYING THIS  ITHINK ITS JUST MOR LIE S  TO KEEP US IN THIS B.S. WAR THAT WE WOULD LOSE.,FoxNews
Y-ZaFDWyZ38,If this is an example of a senior American military officer no wonder America just spent 20 years over a trillion dollar losing to a bunch of goat herders with 30 year old AKs who didn’t even have an Air Force or navy,FoxNews
Y-ZaFDWyZ38,Any comments from a retired general should have a disclaimer letting the viewer know how much defense contractor money they've taken.,FoxNews
Y-ZaFDWyZ38,"Fox is just a Russian propaganda network. But what do you expect from a so called news station convicted for spreading lies for profit. They will say anything to get viewers, all drama queens at fox. Only trailer trash type people get off to watching fox and believe it is real news. You have to have a low IQ to believe anything they say.",FoxNews
Y-ZaFDWyZ38,Go Russia expose biden,FoxNews
Y-ZaFDWyZ38,The only thing the orcs understand is force. Russia cannot live peacefully with the world.,FoxNews
Y-ZaFDWyZ38,"We need to be careful, with bidens open border, enemy agents can come in freely, with drones, or can source drones here, and station themselves near our military bases, they can then strike our bombers and navy ships at the airbase or in port.
  We need to seal our borders.",FoxNews
Y-ZaFDWyZ38,"WASTE OF MONEY, Ukraine must dispose of pooteen to gain results.

Everything else is a waste of time and money.",FoxNews
Y-ZaFDWyZ38,Pro war propaganda on FOX 🫠,FoxNews
Y-ZaFDWyZ38,"What BS. 80% of the Russian people support Putin. That's huge, and that's the barometer. Unfortunately the Col. isn't dealing with reality or never took a real interest in his profession.",FoxNews
Y-ZaFDWyZ38,Obamaswamy is just trying to avoid going to court for ripping off Alzheimers patients. The guy is a conman,FoxNews
Y-ZaFDWyZ38,Much of what that retired officer said was unsubstantiated and/or incoherent.,FoxNews
Y-ZaFDWyZ38,Arm chair expert,FoxNews
Y-ZaFDWyZ38,China is more of a danger ? Then why do we fund their Navy for over 30 years ? American companies left Ohio for China . Shouldn’t we lock them up ?,FoxNews
Y-ZaFDWyZ38,You must change the the title “THERE IS A TIT FOR TAT BETWEEN NATO AND RUSSIA “ and you play in with fire NATO using Ukraine as the porns in the game because you gutless to face the Russians on the frontline.  😮,FoxNews
Y-ZaFDWyZ38,That's not even the worst yet. China is going to break up east Russia and proxy war break away republics when parts of Russia have already shown a desire to be independent. China is going to leverage that and install a puppet government to finally manage to have an arctic foothold and Russian natural resources and water. Lake Bikal.,FoxNews
Y-ZaFDWyZ38,What a clown.,FoxNews
Y-ZaFDWyZ38,"People are being killed every day in Ukraine and Russia. The Russians invaded on 18 February 2014 at the City Halls of Donetsk and Luganst. Russians shot dead the police guarding those City Halls, and the Russians moved in. Donetsk oblast was 35% Russian and 62% Ukrainian. Lugansk oblast was 37% Russian and 60% Ukrainian. One of the common lies that the Russians tell is that the Ukrainians started the war in those cities, that it was a civil war. No, it was an invasion. Those were Russian agents, from Moscow, who shot those Ukrainian police dead.",FoxNews
Y-ZaFDWyZ38,End this proxy war!!,FoxNews
Y-ZaFDWyZ38,“Developed” ya right.,FoxNews
Y-ZaFDWyZ38,"SHALL AMERICA COMMIT SUICIDE IN 2024? We’re not there yet but we’re getting dangerously close. The MAGA-RINO White Power Alliance, posing as the deceased Republican Party (R.I.P.), has proclaimed that if it gains power in 2024 it will replace our democracy with a dictatorship! Shall we vote to commit mass suicide?",FoxNews
Y-ZaFDWyZ38,"Yea let’s not act like our military is doing great, there’s no complaining and the recruitment is high🤡",FoxNews
Y-ZaFDWyZ38,Yeah China bought energy 50 cents on the dollar.,FoxNews
Y-ZaFDWyZ38,Take out 3 of Putin's Maybach style cars he uses each day one of four.,FoxNews
Y-ZaFDWyZ38,"Chinese Charlie, soothsayer, say Putin beware watt U eat.",FoxNews
Y-ZaFDWyZ38,These missiles cannot be deployed from these locattions.  Even dumber than dumb.,FoxNews
Y-ZaFDWyZ38,Fox news is trash,FoxNews
Y-ZaFDWyZ38,No more taxpayer money for the Ukraine,FoxNews
Y-ZaFDWyZ38,How about the usa stop intervening in other countries,FoxNews
Y-ZaFDWyZ38,China Joe 🇨🇳,FoxNews
Y-ZaFDWyZ38,"Ukraine is going to push Russia into going nuclear, or all out conventional war",FoxNews
Y-ZaFDWyZ38,"Another upbeat report from Vietnam, January 1968.",FoxNews
Y-ZaFDWyZ38,"The Chinese own uncle Joey biden. Ccp asks, Joey delivers.",FoxNews
Y-ZaFDWyZ38,Its the Obama Biden unelected administration that is promoting the evil with China who are destroying Ukraine and the USA as fast as they can. God help us,FoxNews
Y-ZaFDWyZ38,pls make agreement ASP,FoxNews
Y-ZaFDWyZ38,Son to seeve Corpndictstorship from China and China zJoe,FoxNews
Y-ZaFDWyZ38,We need to protect our own people and boarders,FoxNews
Y-ZaFDWyZ38,A tital sell out this col,FoxNews
Y-ZaFDWyZ38,"A tit for tat in a war, wow that's unusual",FoxNews
Y-ZaFDWyZ38,Meh...this non news.....nothing new....NEXT......,FoxNews
Y-ZaFDWyZ38,We need to pull out of ukriane,FoxNews
Y-ZaFDWyZ38,What an absurd conversation between 2 individuals dealing in sheer fiction.,FoxNews
Y-ZaFDWyZ38,The fact that the Sarmat will stand on combat duty was known a few years ago. Poseidon goes the same way. It won't be long now ☺️✌️,FoxNews
Y-ZaFDWyZ38,Axis of Evil 😂,FoxNews
Y-ZaFDWyZ38,Must be time for Tucker and Trump to go on another Putin Apology Tour. It was used extensively against America on Russian propaganda tv.,FoxNews
Y-ZaFDWyZ38,I hope they flatten Ukraine and russia this is 100percent joebiden amd his warmongering criminals 😂😂😂😂😂,FoxNews
Y-ZaFDWyZ38,I never trust Fox sources and interpretations after theire admissions to lies that impacted our country so badly.   It's evil in my opinion.   Good sources now are  BBC.,FoxNews
Y-ZaFDWyZ38,Cavuto NEEDS to go. He is awful. I hate when I click on a video and his disgusting head pops up!,FoxNews
Y-ZaFDWyZ38,"Not sure what these ppl
Smoke but Ukraine is being slaughtered. They keep lying to the ppl here just like all the other mainstream media",FoxNews
Y-ZaFDWyZ38,"Ryan McBeth set the record straight on the nutjob right wing military ""experts"".",FoxNews
Y-ZaFDWyZ38,What is the USA interest besides Biden's millions ???,FoxNews
Y-ZaFDWyZ38,"As usual. The US thinks it can control the World, make China do this or nit do that. It’s like you’re playing a gigantic chess game with civilization. He’s going to vote for Biden? Holy crap. Is he aware of the illegal migrant invasion?",FoxNews
Y-ZaFDWyZ38,This loser is repeating trash we heard at the start of the war,FoxNews
Y-ZaFDWyZ38,"This retired dude is either entirely uninformed, ill-informed or telling blatant lies. He is disgusting.",FoxNews
Y-ZaFDWyZ38,Do you really think.they can develpoe this on their own. The real suppliers are putting themselves in a dangerous position. All this probably wouldn't  be accelerating with a different us admin. See the hungarian leaders recent interview it was enlightening.,FoxNews
Y-ZaFDWyZ38,Why would Putin be wary of potential invasion by NATO?  Unless he's considering evildoing at some point... I haven't seen a threat towards Russia.,FoxNews
Y-ZaFDWyZ38,Ukraine are corrupt nazis ....this is bidens oay off war,FoxNews
Y-ZaFDWyZ38,You think I'm fuvkin stupid.....,FoxNews
Y-ZaFDWyZ38,It's because the parasites infiltrated America.... the will of the people will not be heard....Ever..... READ MY LIPS...DEVIL'S IN THE FLESH,FoxNews
Y-ZaFDWyZ38,"The usa has no more soldiers to spare. The usa soldiers have died since 1776. They've fought and died for other nations. Now they're kicked around. No more Americans to spare, world.",FoxNews
Y-ZaFDWyZ38,Be nice if YouTube would stop freezing the video,FoxNews
Y-ZaFDWyZ38,All Chinese people have stopped having children! In our baby boomers generation Americans had two children and Chinese had one child a son and alot of little girls were adopted in America! Now ther generation who had one child  parents are passing away! They built apartments that there tearing down!  Why is this war going on against Russia!,FoxNews
Y-ZaFDWyZ38,"I support Ukraine 🇺🇦  its impressive that they can develop such drone tech under such harsh circumstances.. or is just a cover story ,because they are being supplied from outside there borders.. with high tech very efficient drone tech.. ???",FoxNews
Y-ZaFDWyZ38,WHY DO FOXYMORONS HATE AMERICA?,FoxNews
Y-ZaFDWyZ38,Another globalist puppet.,FoxNews
Y-ZaFDWyZ38,Give the Ukraine nuclear weapons make it even then the Ukraine government war over 😅😅😅😅😅,FoxNews
Y-ZaFDWyZ38,"CNN needs a trump hater like Cavuto,  he got stumped again trying to slander Trump here.  He was peeing his pants hoping the Col. to say China wants Trump. As if.",FoxNews
Y-ZaFDWyZ38,"Tit for tat? It's true that an element in the Ukraine holds ancient grudges against Russia. But that's what America exploited to get them to accept the 'gift' of weapons to fight this war in the first place.
Russia are doing just fine, it's America that isn't 'doing well'.",FoxNews
Y-ZaFDWyZ38,This is BS,FoxNews
Y-ZaFDWyZ38,"I didn't hear wrong, he really said: ""Brazil, India, Russia, China, South Africa, Iran, Argentina, UAE, Saudi Arabia, Ethiopia, Egypt are ""Axis of Evil""? If this point of view is really popular among politicians and the military in the United States, then I have bad news for ordinary Americans... 🤔",FoxNews
Y-ZaFDWyZ38,Cavuto: I need to do more homework next interview.. aka I hate Trump and didn't expect him to say China president wants Biden to win 😂,FoxNews
Y-ZaFDWyZ38,"""""""Truth matters. In the end it is the bedrock of a free country. Lies have consequences. Chaos ensues. And sometimes heavy financial penalties.""""",FoxNews
Y-ZaFDWyZ38,"How many times will a man threaten to take your life, before one day he really does it!

Its only saber rattling until the moment it isn't...! Only a fool would find himself complacent staring down the barrel of a gun, hoping that the assailant wont actually follow through and pull the trigger!

Saber rattling is not a bluff, its the smell of rain in the air just before a storm! But I'm sure there are thise of you who will look at this comment and see it as fire starting. 

* Fools all of you...",FoxNews
Y-ZaFDWyZ38,Under Biden we don't have any influence in the world!,FoxNews
Y-ZaFDWyZ38,"War pigs 🐖 pushing Ukrainians to their deaths.
 In the name of lovely democracy 🥰 ☠ STOP THE WAR",FoxNews
Y-ZaFDWyZ38,This is so weird sir 😮,FoxNews
Y-ZaFDWyZ38,what a sorry liar…. every body who doesn’t follow propaganda knows PUTIN is saving his country from Nazis.,FoxNews
Y-ZaFDWyZ38,"Donald Trump would do anything, even throw his own son under the bus, Eric Trump.",FoxNews
Y-ZaFDWyZ38,"Biden touts August jobs report; unemployment rate jumps. Reuters, 9/2/23

Agent Orange and crew didn’t think about jobs when they decided to let Covid spread like wildfire - dummies!!!",FoxNews
Y-ZaFDWyZ38,"Donald Trump threw his own son under the buzz Eric Trump. Look it up, they don't tell you about that. They wanna talk about nothing. But that's who you guys get your news from.",FoxNews
Y-ZaFDWyZ38,The russians are more stronger than America with their missles and air defence and a much bigger milatary complex,FoxNews
Y-ZaFDWyZ38,Wow Russia must have called up fox news and ask them to report this Because they're so fast to report this and they don't even Tell you have to stuff this going on in the United States. And you wan to talk about biden and China man you got the whole political party republicans behind Russia,FoxNews
